angle,fps
31.700085,696.0881
31.800085,699.32526
31.900085,696.6536
32.000084,698.52356
32.100082,699.26196
32.20008,698.04517
32.30008,714.5724
32.400078,715.0185
32.500076,700.4127
32.600075,693.7305
32.700073,700.09406
32.80007,698.39856
32.90007,700.39777
33.00007,695.6765
33.100067,698.10046
33.200066,699.03436
33.300064,698.7579
33.400063,697.70557
33.50006,713.81006
33.60006,707.1069
33.700058,702.6026
33.800056,703.2651
33.900055,703.7721
34.000053,706.5762
34.10005,702.3703
34.20005,703.4486
34.30005,702.6724
34.400047,704.58105
34.500046,704.515
34.600044,717.8051
34.700043,715.8864
34.80004,700.9772
34.90004,697.6959
35.00004,698.8797
35.100037,701.9828
35.200035,698.474
35.300034,701.2198
35.400032,699.1463
35.50003,698.98425
35.60003,694.705
35.700027,695.73553
35.800026,712.1237
35.900024,708.73645
36.000023,690.9427
36.10002,689.5963
36.20002,689.2042
36.30002,688.46594
36.400017,687.60406
36.500015,685.3341
36.600014,687.68835
36.700012,685.3021
36.80001,684.0315
36.90001,688.2335
37.000008,700.9513
37.100006,685.9544
37.200005,688.2772
37.300003,676.8983
37.4,682.786
37.5,683.7658
37.6,684.51526
37.699997,687.06506
37.799995,685.8529
37.899994,684.6571
37.999992,685.94946
38.09999,700.2232
38.19999,696.79095
38.299988,691.1244
38.399986,683.8538
38.499985,685.15906
38.599983,686.4512
38.69998,684.88245
38.79998,685.5084
38.89998,685.68164
38.999977,686.9376
39.099976,684.41394
39.199974,688.6644
39.299973,703.0077
39.39997,690.0979
39.49997,685.18884
39.599968,683.5303
39.699966,683.5352
39.799965,684.25415
39.899963,685.00964
39.99996,682.28796
40.09996,685.5347
40.19996,684.36096
40.299957,683.8216
40.399956,700.20886
40.499954,688.10645
40.599953,683.8447
40.69995,687.5891
40.79995,687.0813
40.89995,687.2938
40.999947,689.74365
41.099945,689.6188
41.199944,688.2129
41.299942,685.9603
41.39994,685.6673
41.49994,701.7803
41.599937,704.53973
41.699936,684.5839
41.799934,688.11975
41.899933,686.6919
41.99993,685.737
42.09993,683.3939
42.19993,685.3643
42.299927,687.80396
42.399925,683.06647
42.499924,682.12787
42.599922,681.75616
42.69992,696.41907
42.79992,677.558
42.899918,679.64124
42.999916,680.62115
43.099915,684.2747
43.199913,683.78394
43.29991,685.3947
43.39991,689.7808
43.49991,690.2591
43.599907,693.0671
43.699905,693.75366
43.799904,709.3471
43.899902,706.1128
43.9999,693.2691
44.0999,692.45575
44.199898,693.45447
44.299896,694.8821
44.399895,695.81683
44.499893,697.353
44.59989,688.88727
44.69989,699.8078
44.79989,698.6484
44.899887,700.8525
44.999886,718.12177
45.099884,703.04004
45.199883,703.75104
45.29988,703.0118
45.39988,703.8114
45.499878,702.27527
45.599876,712.0807
45.699875,702.43634
45.799873,701.50494
45.89987,704.7428
45.99987,695.9916
46.09987,717.0964
46.199867,716.82874
46.299866,696.88806
46.399864,699.2267
46.499863,700.3286
46.59986,699.1087
46.69986,698.3578
46.79986,699.7145
46.899857,696.6881
46.999855,701.0641
47.099854,699.47314
